,IdLandkreis,Refdatum,AnzahlFall
406,1002,2021-04-21,27
407,1002,2021-04-22,26
408,1002,2021-04-23,35
409,1002,2021-04-24,41
410,1002,2021-04-25,17
411,1002,2021-04-26,39
412,1002,2021-04-27,41
413,1002,2021-04-28,31
414,1002,2021-04-29,25
415,1002,2021-04-30,32
416,1002,2021-05-01,30
417,1002,2021-05-02,24
418,1002,2021-05-03,33
419,1002,2021-05-04,28
420,1002,2021-05-05,44
421,1002,2021-05-06,11
422,1002,2021-05-07,34
423,1002,2021-05-08,30
424,1002,2021-05-09,22
425,1002,2021-05-10,14
426,1002,2021-05-11,24
427,1002,2021-05-12,19
428,1002,2021-05-13,10
429,1002,2021-05-14,28
430,1002,2021-05-15,22
431,1002,2021-05-16,9
432,1002,2021-05-17,16
433,1002,2021-05-18,17
434,1002,2021-05-19,11
435,1002,2021-05-20,16
436,1002,2021-05-21,21
437,1002,2021-05-22,12
438,1002,2021-05-23,4
439,1002,2021-05-24,7
440,1002,2021-05-25,7
441,1002,2021-05-26,6
442,1002,2021-05-27,7
443,1002,2021-05-28,9
444,1002,2021-05-29,6
445,1002,2021-05-30,3
446,1002,2021-05-31,3
447,1002,2021-06-01,2
448,1002,2021-06-02,4
449,1002,2021-06-03,3
450,1002,2021-06-04,5
451,1002,2021-06-05,3
452,1002,2021-06-06,3
453,1002,2021-06-07,4
454,1002,2021-06-08,1
455,1002,2021-06-09,1
456,1002,2021-06-10,2
457,1002,2021-06-11,2
458,1002,2021-06-13,1
459,1002,2021-06-14,5
460,1002,2021-06-16,2
461,1002,2021-06-17,2
462,1002,2021-06-18,3
463,1002,2021-06-21,3
464,1002,2021-06-22,1
465,1002,2021-06-23,2
466,1002,2021-06-24,3
467,1002,2021-06-25,1
468,1002,2021-06-26,1
469,1002,2021-06-27,2
470,1002,2021-06-28,3
471,1002,2021-06-29,1
472,1002,2021-07-01,1
473,1002,2021-07-02,3
474,1002,2021-07-03,2
475,1002,2021-07-04,1
476,1002,2021-07-05,3
477,1002,2021-07-06,3
478,1002,2021-07-07,3
479,1002,2021-07-08,2
480,1002,2021-07-09,1
481,1002,2021-07-10,2
482,1002,2021-07-11,3
483,1002,2021-07-12,1
484,1002,2021-07-13,3
485,1002,2021-07-14,2
486,1002,2021-07-15,6
487,1002,2021-07-16,3
488,1002,2021-07-17,7
489,1002,2021-07-18,4
490,1002,2021-07-19,11
491,1002,2021-07-20,7
492,1002,2021-07-21,10
493,1002,2021-07-22,8
494,1002,2021-07-23,17
495,1002,2021-07-24,5
496,1002,2021-07-25,11
497,1002,2021-07-26,20
498,1002,2021-07-27,8
499,1002,2021-07-28,23
500,1002,2021-07-29,13
501,1002,2021-07-30,12
502,1002,2021-07-31,12
503,1002,2021-08-01,11
504,1002,2021-08-02,23
505,1002,2021-08-03,23
506,1002,2021-08-04,46
507,1002,2021-08-05,20
508,1002,2021-08-06,46
509,1002,2021-08-07,40
510,1002,2021-08-08,26
511,1002,2021-08-09,39
512,1002,2021-08-10,37
513,1002,2021-08-11,39
514,1002,2021-08-12,19
515,1002,2021-08-13,51
516,1002,2021-08-14,33
517,1002,2021-08-15,13
518,1002,2021-08-16,30
519,1002,2021-08-17,29
520,1002,2021-08-18,29
521,1002,2021-08-19,28
522,1002,2021-08-20,33
523,1002,2021-08-21,18
524,1002,2021-08-22,20
525,1002,2021-08-23,43
526,1002,2021-08-24,49
527,1002,2021-08-25,32
528,1002,2021-08-26,30
529,1002,2021-08-27,31
530,1002,2021-08-28,36
531,1002,2021-08-29,9
532,1002,2021-08-30,30
533,1002,2021-08-31,30
534,1002,2021-09-01,28
535,1002,2021-09-02,27
536,1002,2021-09-03,45
537,1002,2021-09-04,23
538,1002,2021-09-05,20
539,1002,2021-09-06,36
540,1002,2021-09-07,15
541,1002,2021-09-08,16
542,1002,2021-09-09,15
543,1002,2021-09-10,30
544,1002,2021-09-11,19
545,1002,2021-09-12,17
546,1002,2021-09-13,16
547,1002,2021-09-14,26
548,1002,2021-09-15,29
549,1002,2021-09-16,10
550,1002,2021-09-17,14
551,1002,2021-09-18,8
552,1002,2021-09-19,12
553,1002,2021-09-20,14
554,1002,2021-09-21,23
555,1002,2021-09-22,28
556,1002,2021-09-23,14
557,1002,2021-09-24,21
558,1002,2021-09-25,11
559,1002,2021-09-26,13
560,1002,2021-09-27,14
561,1002,2021-09-28,11
562,1002,2021-09-29,24
563,1002,2021-09-30,15
564,1002,2021-10-01,9
565,1002,2021-10-02,10
566,1002,2021-10-03,11
567,1002,2021-10-04,10
568,1002,2021-10-05,27
569,1002,2021-10-06,22
570,1002,2021-10-07,14
571,1002,2021-10-08,25
572,1002,2021-10-09,16
573,1002,2021-10-10,12
574,1002,2021-10-11,16
575,1002,2021-10-12,16
576,1002,2021-10-13,17
577,1002,2021-10-14,23
578,1002,2021-10-15,28
579,1002,2021-10-16,11
580,1002,2021-10-17,12
581,1002,2021-10-18,33
582,1002,2021-10-19,22
583,1002,2021-10-20,29
584,1002,2021-10-21,25
585,1002,2021-10-22,31
586,1002,2021-10-23,31
587,1002,2021-10-24,24
588,1002,2021-10-25,44
589,1002,2021-10-26,23
590,1002,2021-10-27,23
591,1002,2021-10-28,45
592,1002,2021-10-29,29
593,1002,2021-10-30,19
594,1002,2021-10-31,12
595,1002,2021-11-01,32
596,1002,2021-11-02,47
597,1002,2021-11-03,48
598,1002,2021-11-04,44
599,1002,2021-11-05,49
600,1002,2021-11-06,47
601,1002,2021-11-07,34
602,1002,2021-11-08,36
603,1002,2021-11-09,41
604,1002,2021-11-10,34
605,1002,2021-11-11,47
606,1002,2021-11-12,51
607,1002,2021-11-13,38
608,1002,2021-11-14,42
609,1002,2021-11-15,38
610,1002,2021-11-16,50
611,1002,2021-11-17,59
612,1002,2021-11-18,39
613,1002,2021-11-19,51
614,1002,2021-11-20,42
615,1002,2021-11-21,38
616,1002,2021-11-22,57
617,1002,2021-11-23,41
618,1002,2021-11-24,33
619,1002,2021-11-25,37
620,1002,2021-11-26,40
621,1002,2021-11-27,37
622,1002,2021-11-28,26
623,1002,2021-11-29,22
624,1002,2021-11-30,51
625,1002,2021-12-01,41
626,1002,2021-12-02,58
627,1003,2021-01-01,22
628,1003,2021-01-02,26
629,1003,2021-01-03,24
630,1003,2021-01-04,30
631,1003,2021-01-05,33
632,1003,2021-01-06,31
633,1003,2021-01-07,30
634,1003,2021-01-08,41
635,1003,2021-01-09,41
636,1003,2021-01-10,17
637,1003,2021-01-11,32
638,1003,2021-01-12,36
639,1003,2021-01-13,38
640,1003,2021-01-14,34
641,1003,2021-01-15,37
642,1003,2021-01-16,32
643,1003,2021-01-17,17
644,1003,2021-01-18,43
645,1003,2021-01-19,38
646,1003,2021-01-20,31
647,1003,2021-01-21,40
648,1003,2021-01-22,35
649,1003,2021-01-23,25
